Id,Sentiment,Text Tweet,clean_teks,clean_teks2,topic,internet,kartu,harga,embedding
40,0,"Rugi isi kuota <PROVIDER_NAME> jaringannya busuk banget, dirugikan ..",rugi isi kuota jaring busuk banget rugi,"['rugi', 'isi', 'kuota', 'jaring', 'busuk', 'banget', 'rugi']",2,0.49277776,0.584407,0.35640126,"[-0.05168637 -0.03264037 -0.07185721 -0.07738984  0.03276391  0.04217407
  0.00788182 -0.03619261  0.00566612  0.03548415 -0.0061591  -0.04698327
  0.01922841 -0.06042451 -0.00936619 -0.12906702 -0.03013188 -0.05929762
  0.00702612 -0.10102048  0.00706641  0.01057942 -0.02965057  0.12325185
 -0.04697061  0.03865774 -0.03202035 -0.06754842  0.01622598  0.04289562
 -0.01175502 -0.01363694  0.01007816 -0.0256526   0.06287167  0.07028399
  0.10221023 -0.03340554 -0.07160171  0.03685462  0.04013433  0.00194012
  0.07228845 -0.00491167  0.007844    0.06684931 -0.05118377  0.03082908
 -0.04632026 -0.04053888 -0.05176049  0.04648752  0.03720512  0.04532713
 -0.04672964 -0.04288631 -0.02121304 -0.03790661  0.06787018 -0.09267105
  0.00348574  0.05023185  0.0171757  -0.06297941  0.03185834  0.01362516
  0.05621178  0.00053626 -0.03451329 -0.03598439  0.09212368  0.0721383
  0.03614092  0.01615482  0.08287607  0.01004176 -0.00662096 -0.00608548
 -0.03127916  0.09084935  0.11864458 -0.0288462   0.00760866 -0.02089928
  0.00152842  0.02771629  0.01073891  0.01018399  0.06080934  0.09224449
 -0.06649361  0.01925571  0.06473432 -0.04592251  0.05006283 -0.01767863
 -0.04438105 -0.02899973 -0.00132022  0.04198727]"
41,0,solidaritas perlu.. tapi perasaan lebih penting lagi dari solidaritas.  ngomong dong <PROVIDER_NAME>,solidaritas asa solidaritas ngomong,"['solidaritas', 'asa', 'solidaritas', 'ngomong']",0,0.40156415,0.42121628,0.5712078,"[-0.09721482 -0.06052857  0.0082461   0.05756063 -0.04277298 -0.04059477
 -0.08826322  0.04240726 -0.01408188  0.02686215  0.01648869 -0.01759648
 -0.10857401  0.00525327 -0.00455761 -0.16294017  0.01746267  0.09739438
  0.00516484 -0.00175918  0.06762389 -0.05216099 -0.00312172 -0.0483827
 -0.08688204 -0.0282682   0.07005356  0.02384657  0.01241038 -0.04722891
 -0.04309537 -0.0143794  -0.01212106  0.00938739  0.02251463  0.02844453
  0.16311581  0.12216815 -0.05017414 -0.04665237  0.07786946  0.08471665
 -0.07659921  0.05303611 -0.07545841  0.08059614 -0.04362457 -0.05028005
 -0.00157435 -0.16146721 -0.01567623  0.06451541  0.06156808  0.0253778
  0.10336651  0.0323246  -0.0515196   0.06826823 -0.02942427 -0.12013382
  0.08849115 -0.06357896 -0.00215373 -0.01130896 -0.0261451   0.01056324
 -0.09139355  0.02590123  0.04458364  0.0390405  -0.01671852  0.04464898
 -0.02583005 -0.02674093  0.10513735  0.03663411  0.04119162 -0.04464437
 -0.00154604  0.02144183  0.01727663 -0.0077662   0.0293724   0.01052208
  0.02422807 -0.08734669 -0.01648883 -0.07656415  0.00865093 -0.00812569
  0.00550004  0.00476305  0.03417948  0.02573923  0.0870453   0.07229154
 -0.01255214 -0.05902737 -0.01208398 -0.04242738]"
42,1,<PROVIDER_NAME> 1berbagi tanpa kuota 2 berbagai kapan saja <PROVIDER_NAME> bagi berkah <USER_MENTION>,bagi kuota berkah,"['bagi', 'kuota', 'berkah']",2,0.33391038,0.7115802,0.66183037,"[ 1.90125406e-02 -1.45044178e-02 -3.31390686e-02 -3.69251855e-02
  7.57426694e-02  1.50615335e-01 -9.61461943e-03 -1.12838604e-01
  4.81851771e-03 -2.36345623e-02 -1.27725303e-04  9.09187868e-02
 -5.78371168e-04 -3.49061377e-02  3.38332430e-02 -1.71767518e-01
  6.15298338e-02 -1.34813450e-02  1.21046640e-02 -7.54947364e-02
 -3.39188278e-02  1.11740299e-01 -2.47911108e-03  1.32470233e-02
 -3.06277839e-03  1.72773711e-02  7.94909522e-02 -6.18332326e-02
 -4.15716320e-03  4.50708158e-02  7.79726123e-03 -4.49811816e-02
 -1.33515792e-02 -4.58054952e-02  8.44367668e-02  7.90833235e-02
  1.26432227e-02  1.73423216e-02 -8.25771317e-02  7.72859082e-02
 -5.22724427e-02 -9.85452309e-02  3.55806015e-02 -8.44323039e-02
 -7.48904273e-02 -6.37969607e-03 -9.67807546e-02  1.17414445e-02
 -5.81805967e-02 -1.05106384e-02 -4.57271598e-02  3.01981475e-02
  3.17358859e-02 -1.60324592e-02 -2.09059883e-02 -4.22812253e-02
  3.93736102e-02 -1.28985168e-02 -2.54745688e-02 -2.12979540e-02
 -1.25849200e-02  2.93421820e-02  1.35922134e-02  5.81576526e-02
 -3.63116153e-02  1.07855558e-01 -2.93567628e-02 -7.21971458e-03
 -4.88500893e-02 -8.38427898e-03  1.07151531e-01 -1.31632239e-02
  1.05028087e-02 -6.20838962e-02  1.52557967e-02  1.01245744e-02
  6.15573116e-02 -8.15042704e-02  7.55370269e-03 -2.21723914e-02
  1.38322562e-02 -3.07174455e-02 -3.70530337e-02 -5.00227846e-02
 -6.17289543e-02 -8.32118560e-03 -1.85441691e-02  9.37681273e-02
 -4.12834622e-02  3.49004306e-02 -1.71421133e-02  4.22252528e-02
  6.44335747e-02  2.65591010e-03 -2.65820813e-03 -4.68313657e-02
 -1.75388418e-02 -6.15493720e-03 -6.00420795e-02  9.65084806e-02]"
43,1,"<PROVIDER_NAME> bagi berkah 1video ngabuburit dengan anak, video sahur bersama keluarga, video pakai baju koko baru, <USER_MENTION>",berkah video ngabuburit anak video sahur keluarga video pakai baju koko,"['berkah', 'video', 'ngabuburit', 'anak', 'video', 'sahur', 'keluarga', 'video', 'pakai', 'baju', 'koko']",0,0.39268258,0.58761483,0.53944343,"[-0.02698301 -0.04270256 -0.00604529 -0.02224798 -0.03474834 -0.05538477
 -0.05744386 -0.03068769  0.00420172  0.02294507  0.02138792 -0.02559233
 -0.03869274 -0.01768091 -0.04497988  0.00369131  0.01840598  0.03001785
  0.0204416  -0.02785237 -0.00602355 -0.05080137  0.07036126 -0.04024513
 -0.07205527  0.06319923  0.00886951 -0.00817117  0.01994523 -0.00369386
 -0.01562759 -0.11069252  0.02247216 -0.05007639 -0.03179831  0.02080291
 -0.0069571   0.06815565  0.0028082  -0.04283932 -0.00608334 -0.02692212
 -0.00133119  0.00797311 -0.06556207 -0.02249426  0.00309347 -0.0490855
  0.01819195  0.04131868 -0.03723576  0.04238984 -0.01321427  0.0151724
  0.04812754 -0.03283658  0.00942748 -0.0074313   0.04811628  0.04941886
  0.00874336 -0.01762163 -0.03968045  0.05799333  0.05180858  0.08511855
  0.01014948  0.00627719  0.00682631 -0.00574748 -0.0545037  -0.0097563
  0.01189401 -0.02462544 -0.00655663  0.00647771  0.02543462 -0.01693123
  0.00971989  0.02929349  0.00471136 -0.03690888 -0.011472   -0.00357806
 -0.03849934  0.03233536 -0.05266465  0.00710034  0.00496761  0.06086489
  0.01789017  0.02278312  0.02004097 -0.02267656  0.04485448 -0.03929044
  0.06194273  0.01377041 -0.06725606  0.02750384]"
44,0,Koneksi <PROVIDER_NAME> di daerah #sawojajar kota #malang seminggu ini lemot parah ? lagi gangguan kah? <PROVIDER_NAME>Care <PROVIDER_NAME>,koneksi daerah sawojajar kota malang minggu lot parah ganggu kah provider namecare,"['koneksi', 'daerah', 'sawojajar', 'kota', 'malang', 'minggu', 'lot', 'parah', 'ganggu', 'kah', 'provider namecare']",2,0.45300332,0.5825631,0.70272446,"[-0.03058723  0.01146699  0.03176929  0.03130538  0.03556609  0.00054925
 -0.00311463 -0.01426043  0.0295752  -0.00795114  0.03577302 -0.02160478
  0.03993072 -0.06146839 -0.0006489  -0.03336379  0.05061908  0.01712239
 -0.0343572  -0.01421539 -0.00794792 -0.04092779 -0.01413621  0.04615202
 -0.0211913  -0.00546471 -0.02191056 -0.06057805  0.01606446  0.00306868
 -0.0645788  -0.01212065  0.02193999 -0.03974637  0.00372795 -0.00210432
 -0.05795588 -0.03199177 -0.03386268 -0.05650425 -0.00985348  0.02237471
  0.00598656  0.00315351 -0.02539524 -0.00842656 -0.05259186 -0.00415291
 -0.0089507   0.05870242 -0.03930363 -0.02294424  0.00687322  0.05625733
 -0.02271875 -0.03375721  0.01054658 -0.0367368   0.04246344 -0.01511315
  0.05011286  0.01169679 -0.02305095  0.06428991  0.0285504   0.07696552
  0.00833395  0.01808126 -0.01270106  0.0547577   0.0392952   0.02803353
  0.05995429  0.02115889  0.05057049  0.00479491  0.00209149  0.0442814
 -0.0410479   0.00037861 -0.0079597  -0.00037117  0.0176643   0.04686275
 -0.04030222 -0.04040681 -0.05048883  0.01068229 -0.03036132 -0.02278361
 -0.03964307 -0.00118213  0.01664878  0.0250807   0.03545234  0.02626071
 -0.0595762   0.00448396 -0.06956745  0.07350422]"
45,1,"Saya pakai <PROVIDER_NAME>, meski <PROVIDER_NAME> lebih greget dalam hal network and speed, setidaknya <PROVIDER_NAME> lebih irit buat anak kere seperti saya.",pakai greget network and speed irit anak kere,"['pakai', 'greget', 'network', 'and', 'speed', 'irit', 'anak', 'kere']",0,0.6538843,0.5462529,0.519405,"[-0.05692197  0.02629914  0.00590539  0.00244675  0.01291204 -0.0265424
  0.02033849  0.04558448 -0.03460542  0.05916047  0.00920188 -0.02594641
 -0.06307571  0.00294616 -0.0093308   0.02340441  0.06134252  0.0083057
  0.03359095 -0.03695759  0.01552337 -0.00134637 -0.01179887  0.02848977
 -0.02828838 -0.02419602 -0.0033857   0.03056541 -0.05106127 -0.06715246
 -0.04449976  0.00811362  0.08205627 -0.02570796 -0.038778   -0.00481797
 -0.04725072 -0.01154418  0.01975448  0.04079293  0.00918561  0.03853934
 -0.0374094  -0.08400191 -0.0001483  -0.00159359 -0.0086906  -0.03290329
 -0.00852468  0.0102292  -0.05707839  0.00810852 -0.02708391 -0.00177123
 -0.00260706 -0.02209187  0.02893057 -0.01376528 -0.00026705  0.00284199
  0.04240207  0.01330654  0.02979695 -0.07308524  0.01586042  0.02090214
 -0.00672333 -0.03456793  0.00820795  0.03317156 -0.04625231  0.0766985
 -0.02816914 -0.01630471  0.02998785  0.0230017   0.04536346 -0.01974368
  0.05662712  0.05129359 -0.04093845 -0.08014768  0.11724703 -0.00956042
 -0.00698672 -0.0285965   0.0096377   0.00598901  0.04081087  0.04136053
 -0.03390708 -0.01538227  0.01966544 -0.014994    0.09302258  0.04878539
 -0.05349881  0.04090493 -0.02538283  0.04691012]"
46,1,#Boikot <PROVIDER_NAME> harusnya #boikot<PROVIDER_NAME> kartu mahal!. lebih bagus juga <PROVIDER_NAME>,boikot kartu mahal bagus,"['boikot', 'kartu', 'mahal', 'bagus']",1,0.25986218,0.74643165,0.6041279,"[ 0.02242195  0.03406828 -0.01993634  0.0095883   0.03836554 -0.01428942
 -0.07065803 -0.09191889 -0.03235467  0.0398432   0.00774521  0.0121995
 -0.04341344 -0.06781844  0.04576538 -0.08079613  0.04223541 -0.00280132
  0.02959675 -0.05205743  0.06770086 -0.06326264 -0.05898054  0.06528039
  0.01069734 -0.03448118  0.04897986  0.08976937  0.0700046   0.01089723
 -0.04383651 -0.04676922 -0.00680533 -0.02551016 -0.02345331 -0.03889615
 -0.02554025  0.05126184 -0.00976949  0.03790347  0.00698934  0.03483972
  0.01572283 -0.0510519  -0.04804577  0.01252367 -0.13139316 -0.08466835
  0.02197809 -0.04560133 -0.02734673  0.037813   -0.06580374  0.03955909
  0.06960899 -0.0154564   0.01397678  0.04636237 -0.01674137  0.0497064
 -0.0347192  -0.00677909 -0.07274036  0.08769596 -0.05667473 -0.04455445
  0.00927711 -0.0775025   0.02151831  0.02779133  0.01877861  0.02518919
  0.00672692  0.02352232 -0.03313143  0.07566772 -0.07148831  0.01753723
 -0.08423538  0.09191921 -0.01642407  0.03425807  0.01709073  0.02682113
  0.02367313  0.03938916 -0.02042811  0.15451424 -0.08048172  0.02459341
 -0.01287597  0.0875766  -0.07897624  0.04458678 -0.06382795  0.07796739
 -0.01011944  0.06479714 -0.08721517  0.01198107]"
47,1,<PROVIDER_NAME> <PROVIDER_NAME> Berbagi berkah,bagi berkah,"['bagi', 'berkah']",2,0.36909434,0.54764825,0.7091246,"[ 0.01157632 -0.0176404  -0.02020363 -0.03285221  0.10711125  0.31348142
  0.01867685 -0.11567596  0.00995075 -0.02107193  0.00824287  0.18124902
 -0.00313199  0.02608115  0.05264573 -0.13697395  0.13652864 -0.056118
 -0.05154601 -0.08421084  0.02354566  0.17496713  0.01537663 -0.04942534
 -0.01462682  0.0079204   0.08367267  0.01239949 -0.01286865  0.01014077
 -0.03346215 -0.07094054  0.00379119 -0.04393115  0.06802385 -0.01002876
  0.02735577  0.10059085 -0.10466733  0.10745419 -0.04916444 -0.0510726
  0.00927753 -0.05491889 -0.01324311 -0.01520461 -0.143552   -0.04726381
 -0.01826457 -0.0690438  -0.04198916  0.02986031  0.04699422 -0.00379548
  0.02887494 -0.08295748  0.02306849  0.03533909 -0.09206285 -0.01072704
  0.0351811   0.00596156 -0.04899783  0.12358549 -0.07575198  0.11343222
 -0.05795027 -0.08013704 -0.0017121   0.00300814  0.10951656 -0.07147729
 -0.01808169 -0.05527487 -0.05432039 -0.01432201  0.03830028 -0.03925055
  0.00933236 -0.09092299 -0.03356984 -0.04215358 -0.14712834 -0.04077799
 -0.04992085  0.01123448 -0.0026771   0.0776208  -0.10518643 -0.00853168
 -0.06646368  0.00133777  0.09444511  0.03988227  0.0051346   0.0154698
 -0.02918075 -0.02144574 -0.03548001  0.09377816]"
48,0,Baru isi kuota ... tapi baru 2 menit langsung habis kacau. <PROVIDER_NAME> <URL>,isi kuota menit langsung habis kacau,"['isi', 'kuota', 'menit', 'langsung', 'habis', 'kacau']",2,0.49538097,0.5397085,0.4743446,"[ 0.07040387 -0.00589613  0.01489593 -0.05639126  0.0009745  -0.0499411
  0.05877202  0.02154151  0.001633   -0.01208542  0.0201148  -0.03120168
  0.00727098 -0.08610903  0.02526974  0.00934471  0.04821485  0.00449924
  0.00119973 -0.02816153 -0.05366863  0.05208908 -0.03061885  0.09716427
  0.01691717  0.02875702  0.04124798 -0.01367555 -0.01035294  0.03513338
  0.0543636  -0.01976437  0.03772508  0.00657623  0.02619182  0.07351593
  0.04683225 -0.08596659  0.01510286 -0.01692579 -0.05000279  0.07070251
 -0.00802303 -0.03606425  0.01016359  0.01020173 -0.04265535  0.00895082
 -0.02202241 -0.04049667 -0.02168046 -0.02985837 -0.07062455  0.009439
 -0.04917054 -0.06158486 -0.01008068 -0.07074245  0.04290532 -0.00481676
 -0.01617786 -0.00679665  0.00764574 -0.03653468 -0.00634043  0.0969458
 -0.09086764  0.02884139 -0.01579388 -0.05044724  0.02354134  0.06094323
 -0.03492293  0.00048519  0.04539438 -0.00194781  0.03845805 -0.04841037
 -0.03150323  0.01947351  0.07136665 -0.02884792  0.04587373  0.03845349
 -0.01793416 -0.00730336 -0.0635324   0.07191364 -0.01149972  0.00112907
  0.03904718  0.02274691  0.04528308 -0.05723603  0.0228253   0.01889835
 -0.01972032  0.02445817 -0.03723678 -0.00127196]"
49,0,Sinyalmu jelek banget sih akhir akhir ini <PROVIDER_NAME>,sinyal jelek banget sih,"['sinyal', 'jelek', 'banget', 'sih']",0,0.59173346,0.2570438,0.339005,"[ 0.04312611  0.10581243 -0.03103525 -0.02087002 -0.0204508   0.01175057
  0.0152147  -0.0375208   0.03255385  0.04428122 -0.05776264 -0.01921555
  0.06721325 -0.05642907 -0.04682315 -0.14081451 -0.01226263 -0.0308637
 -0.06477516 -0.03795968  0.08590497  0.00773627 -0.1375783  -0.05871306
 -0.12016392 -0.0381894   0.01369004  0.03842865 -0.01093885  0.0869395
 -0.02193565  0.01291908  0.01580677  0.00894719 -0.01001605  0.00353818
  0.00068565  0.05390591  0.00754507  0.04097361 -0.06643855 -0.05876524
 -0.07385772 -0.08334387 -0.06080803 -0.02765808 -0.02280696  0.03529929
 -0.07484725  0.01278853 -0.03743978  0.0006457  -0.08061413  0.01942921
 -0.08929075 -0.07950424 -0.06704772  0.08078767  0.03095828 -0.06909177
 -0.00716888  0.05249976  0.03079456 -0.0295677   0.08143087  0.03080519
 -0.00770843  0.01261121  0.09836452  0.02748509 -0.0297837   0.10189777
 -0.06144328 -0.06745204  0.01111099  0.01853982 -0.06649774 -0.14074633
 -0.03892746  0.05247942  0.0481213   0.00547177 -0.02585143 -0.00710433
  0.01595002  0.07137524 -0.08549495 -0.02546315 -0.02747488  0.05393537
 -0.05625612 -0.02096954 -0.08697042 -0.01771425  0.02158284  0.01976809
 -0.05342706  0.00868637 -0.03822865  0.03178819]"
50,0,#Boikot<PROVIDER_NAME> Pergerakan masif PKI dan antek2nya melalui iklan <PROVIDER_NAME>. Mari hancurkan PKI melalui #Boikot<PROVIDER_NAME>,gera masif pki antek iklan mari hancur pki,"['gera', 'masif', 'pki', 'antek', 'iklan', 'mari', 'hancur', 'pki']",1,0.48068973,0.5942491,0.58790046,"[-0.0171662  -0.0740189   0.06308968  0.03357822  0.00699348  0.02478295
 -0.0189558  -0.03328471 -0.01033673  0.04234479 -0.01348394  0.04934134
 -0.04539049  0.01174573  0.01999252 -0.00409068 -0.03740336 -0.06349019
 -0.02208319 -0.02584242  0.03451304  0.01182051 -0.00464901 -0.00949468
 -0.0065335   0.03266642  0.07007168  0.00984565  0.00459423  0.03290231
 -0.0541862   0.0219048   0.00492262  0.04923063  0.02785857  0.02218043
  0.00388284  0.0350648   0.02130061 -0.04307015  0.01468249  0.01402253
  0.02556978  0.03629517  0.02213078  0.05896185 -0.01272657 -0.02019949
 -0.00040733  0.04780685  0.04053348 -0.01054255 -0.0575923   0.00557841
 -0.03025671 -0.08573392 -0.06739353  0.03363495  0.0213984  -0.07017709
 -0.01712548  0.05103822 -0.07099524 -0.01019515 -0.04894621  0.03978804
  0.02361279  0.04726969 -0.02622627 -0.00347134 -0.02626388 -0.05638206
  0.0305855  -0.0155246  -0.03194648 -0.01357773 -0.01952866  0.05283805
 -0.00927412 -0.04332926  0.00909358 -0.01412417  0.02535364  0.01620086
 -0.0565812   0.01533519 -0.01534704 -0.04187257 -0.03608108 -0.02832149
 -0.00547393  0.05168431 -0.00161435 -0.03396362 -0.00446088  0.06825954
 -0.03659551 -0.00096218 -0.054979   -0.04769329]"
51,1,Alhamdulillah masih #setia dengan <PROVIDER_NAME>.. jangan menari di tabuhan gendang orang lain.. selamat isya dan tarawih... ,alhamdulillah setia tari tabuhan gendang orang selamat isya tarawih,"['alhamdulillah', 'setia', 'tari', 'tabuhan', 'gendang', 'orang', 'selamat', 'isya', 'tarawih']",0,0.49213487,0.57896197,0.71062255,"[ 0.01115889 -0.03344204 -0.02149355 -0.0243402   0.02353715  0.0294152
  0.01680461  0.00423984  0.02446394 -0.02063034 -0.05192966  0.00400984
 -0.05728076 -0.00531073 -0.05575986  0.00294728 -0.03627421 -0.01841084
  0.01114093 -0.05401082  0.00848698  0.00485158 -0.00534827  0.00852733
 -0.00803505 -0.0384598   0.04926236 -0.08480848  0.07535777  0.03489539
  0.02252162  0.00144248 -0.03553392 -0.02450887  0.02740396 -0.0140187
  0.0708413   0.02837797 -0.04488367 -0.01885387  0.0087148  -0.00426152
 -0.00844817 -0.02859499  0.00411106  0.00852598 -0.01794885 -0.03186675
  0.0459721  -0.02026989  0.03201059 -0.04652081 -0.0003746   0.04051594
  0.0082048   0.03704441  0.02773508  0.09409073  0.01317794 -0.05053396
  0.00691487  0.01839828 -0.01647365 -0.03962068 -0.01040481 -0.03497348
  0.03029956  0.04161816  0.07397636 -0.02188534  0.03195697  0.01161973
  0.03055854 -0.04708089  0.10665652 -0.06980531 -0.02932605  0.01571413
 -0.03283368  0.04580517 -0.01187615 -0.01951819 -0.00500678 -0.00303402
 -0.05556316 -0.04995222 -0.01926818 -0.00885827 -0.03290009 -0.03070929
  0.03700566 -0.00882834 -0.03155906 -0.06362681 -0.00994026  0.07111803
 -0.03467288 -0.05200144  0.01307954 -0.02486925]"
52,0,"Aku kira diganti pulsaku. udah komplain sana sini, kok cuma php, <PROVIDER_NAME>",ganti pulsa udah komplain php,"['ganti', 'pulsa', 'udah', 'komplain', 'php']",2,0.36340854,0.46454725,0.52114964,"[-2.16392372e-02 -8.86173919e-02  5.53744659e-02  6.03746995e-02
  6.10119179e-02  5.83211472e-03  5.43011725e-03 -6.94781169e-02
  4.32258360e-02  1.12957414e-02  2.45219413e-02 -4.08838615e-02
  1.36869298e-02 -1.26764355e-02 -6.44408539e-02  1.21185463e-02
 -1.79553833e-02  3.25869396e-02  5.16589731e-04 -2.13463809e-02
 -3.25589627e-02 -1.53525351e-02 -2.36171186e-02 -2.37073395e-02
  2.75165401e-02 -6.55486807e-02  9.11397766e-03 -2.02908255e-02
 -3.12207197e-03  3.95088904e-02 -1.34663265e-02  7.40114450e-02
  4.42930758e-02  4.80979688e-05  2.99898796e-02 -1.39586948e-04
 -2.18750723e-02 -7.17523247e-02 -1.86280124e-02 -2.84355693e-02
  2.46500764e-02 -4.61477526e-02 -1.65116787e-03 -2.20834259e-02
 -6.60516769e-02  4.01507430e-02 -3.82786691e-02 -1.05012953e-01
  8.58074054e-03  2.93639209e-02  2.98303366e-02  4.62431982e-02
 -1.33080035e-02  7.30343238e-02  3.90033610e-02  2.69201510e-02
  8.29218850e-02 -1.65156629e-02 -3.45365074e-03 -1.87781565e-02
 -1.86749715e-02  2.40818728e-02 -7.03333840e-02  3.54712829e-02
  3.87323163e-02  3.97327468e-02 -1.71860065e-02 -4.09270264e-03
  4.14628014e-02  4.03835215e-02  1.26610801e-01  4.17525135e-02
  5.89032657e-02  2.71294005e-02 -1.80691425e-02  7.35364556e-02
 -5.99042338e-04 -7.07056522e-02 -6.19182084e-03  5.26045039e-02
 -6.49359375e-02  1.30281271e-02 -3.39523144e-02  6.44734725e-02
 -1.69854308e-03  8.50324631e-02 -4.69355192e-03  1.46894783e-01
  3.84384803e-02  7.07899332e-02  3.03525571e-02  1.57952681e-02
  2.50922777e-02  7.74895251e-02 -2.13646982e-02  7.52532333e-02
  1.79171260e-03  2.67111715e-02 -1.73473693e-02  3.03795077e-02]"
53,0,Sinyalmu kenapa <PROVIDER_NAME>,sinyal,['sinyal'],0,0.35662517,0.03364252,0.25394577,"[ 1.13624580e-01  1.66977197e-01 -5.05514182e-02  3.62111405e-02
  1.48985228e-02  1.04336485e-01 -2.55653169e-02 -4.67702597e-02
 -3.05494003e-04  7.80232176e-02 -1.93440080e-01  2.86096800e-03
 -8.50506350e-02 -5.82029186e-02  1.55846491e-01 -3.57498914e-01
  2.11350545e-02  8.07404667e-02 -1.04331180e-01  9.85457450e-02
 -1.31842583e-01  6.14485368e-02 -2.43087664e-01 -4.51349877e-02
 -7.54509643e-02  7.01574087e-02  1.71689168e-01  2.67481118e-01
 -3.39506455e-02 -1.26803759e-02  5.08079641e-02 -3.64423990e-02
 -4.28371206e-02 -5.87585531e-02  8.27283785e-02 -2.70508863e-02
 -8.70131105e-02  3.23189460e-02 -4.18610573e-02  1.93046145e-02
 -1.45181715e-02 -4.36530598e-02  5.73502705e-02  6.24973997e-02
 -5.34253754e-02 -1.17829069e-01 -5.47026023e-02  5.90671934e-02
 -2.28497777e-02  1.65437851e-02  1.02326147e-01 -1.28258094e-02
 -8.90147611e-02 -1.12970561e-01 -1.70329884e-02 -1.11332223e-01
 -7.35264644e-02  2.20050029e-02  4.72898148e-02 -1.12933457e-01
  3.24646756e-02 -2.10612379e-02 -2.24343706e-02 -2.87285864e-01
  1.30859287e-02  3.96678597e-02  1.50706023e-01 -3.03437300e-02
  6.36617690e-02  1.86952144e-01 -8.58016536e-02  2.12205369e-02
  2.19866470e-03 -2.02064544e-01  1.09110847e-01  1.74665853e-01
 -2.18235031e-02 -1.86420292e-01 -1.61808997e-01 -1.10929990e-02
 -6.35846630e-02  1.17978573e-01 -6.08876608e-02 -3.47478576e-02
  1.40210027e-02  4.60862257e-02 -1.32227272e-01  9.56302807e-02
  2.81656068e-02 -2.99447365e-02 -1.11532155e-02  2.87986752e-02
  4.95619699e-03 -8.62922743e-02  7.22720549e-02  7.03258961e-02
 -1.08973384e-01  7.67579582e-03  1.61077138e-02  2.86534317e-02]"
54,0,<PROVIDER_NAME> musuh Ulama #Boikot<PROVIDER_NAME> <URL>,musuh ulama,"['musuh', 'ulama']",0,0.07888852,0.53146046,0.38791314,"[ 1.20410360e-02  9.10877064e-02  7.88077489e-02  3.53476927e-02
 -9.35777090e-03  5.97216934e-02 -3.34408060e-02  9.11831036e-02
  4.08111326e-02 -4.87835035e-02  1.34157211e-01 -2.08588745e-02
  1.77767441e-01 -4.70009558e-02 -1.23892263e-01 -8.18325579e-02
  6.57815486e-02 -8.59033316e-05 -9.18707997e-02 -1.92145854e-02
  1.26691069e-02 -1.19813547e-01  4.55869548e-02 -1.68571174e-02
  7.51614943e-02 -6.84697330e-02  1.16858751e-01 -4.92829569e-02
 -1.85779750e-01 -6.41944408e-02  9.82713234e-03  9.10738036e-02
 -1.06203541e-01 -5.97740971e-02  2.51274053e-02  1.20359603e-02
 -7.88639411e-02  4.40138355e-02 -5.39283752e-02  3.87880998e-03
  1.53584173e-03  3.13867293e-02 -3.94566059e-02  2.62478329e-02
  3.10416818e-02  1.11882076e-01 -1.97872221e-01 -4.82052565e-02
 -1.02649420e-01  5.09758443e-02 -3.98387164e-02  5.90817705e-02
 -1.73831582e-02 -8.14947188e-02 -5.43965586e-02  6.96207583e-02
 -1.33621944e-02 -9.63997468e-02  1.03821866e-01  1.91078577e-02
 -3.13674361e-02  1.36227816e-01  1.80676542e-02 -6.92466199e-02
  1.88296996e-02  1.87261716e-01 -1.00105911e-01  3.80612910e-02
 -9.47200805e-02 -7.67730474e-02  3.94435413e-02  6.23634458e-02
  1.23984292e-02  1.00065932e-01  1.20729379e-01 -7.34753683e-02
 -5.88377267e-02  1.36689292e-02  3.64517570e-02  6.17582574e-02
 -1.01738330e-03 -9.14629176e-02 -9.88106243e-03  1.07478239e-01
  9.42700654e-02  1.20699015e-02 -7.62155205e-02 -9.55924615e-02
 -6.64745197e-02 -1.29813431e-02 -5.86738437e-03  4.20953184e-02
 -3.60038355e-02  3.84610519e-02  3.63758244e-02 -3.66591290e-02
 -1.04535721e-01  7.04663619e-02  3.30258496e-02  2.03643441e-02]"
